State_abb,State,Date,Lat,Lon,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
IL,Illinois,2/6/2020,39.79487369,-88.65905633,32,0,26,0,0,0,0,0,0,0
MA,Massachusetts,2/6/2020,40.98575192,-69.50445945,24,0,1,0,0,0,0,0,0,0
WA,Washington,2/6/2020,46.70352869,-119.3591342,16,0,12,0,0,0,0,0,0,0
WI,Wisconsin,2/6/2020,44.11921289,-89.35496561,26,0,0,0,0,0,0,0,0,0
AZ,Arizona,2/7/2020,32.92311986,-109.0097148,21,0,3,0,0,0,0,0,0,0
CA,California,2/7/2020,37.42948681,-120.2166639,55,0,0,0,0,0,0,0,0,0
IL,Illinois,2/7/2020,39.79487369,-88.65905633,36,0,32,0,0,0,0,0,0,0
MA,Massachusetts,2/7/2020,40.98575192,-69.50445945,23,0,2,0,0,0,0,0,0,0
WA,Washington,2/7/2020,46.70352869,-119.3591342,17,0,15,0,0,0,0,0,0,0
WI,Wisconsin,2/7/2020,44.11921289,-89.35496561,26,0,1,0,0,0,0,0,0,0
AZ,Arizona,2/8/2020,32.92311986,-109.0097148,20,0,3,0,0,0,0,0,0,0
CA,California,2/8/2020,37.42948681,-120.2166639,42,0,0,0,0,0,0,0,0,0
IL,Illinois,2/8/2020,39.79487369,-88.65905633,39,0,37,0,0,0,0,0,0,0
MA,Massachusetts,2/8/2020,40.98575192,-69.50445945,22,0,2,0,0,0,0,0,0,0
WA,Washington,2/8/2020,46.70352869,-119.3591342,18,0,18,0,0,0,0,0,0,0
WI,Wisconsin,2/8/2020,44.11921289,-89.35496561,25,0,1,0,0,0,0,0,0,0
AZ,Arizona,2/9/2020,32.92311986,-109.0097148,20,0,4,0,0,0,0,0,0,0
CA,California,2/9/2020,37.42948681,-120.2166639,28,0,0,0,0,0,0,0,0,0
IL,Illinois,2/9/2020,39.79487369,-88.65905633,42,0,42,0,0,0,0,0,0,0
MA,Massachusetts,2/9/2020,40.98575192,-69.50445945,21,0,2,0,0,0,0,0,0,0
WA,Washington,2/9/2020,46.70352869,-119.3591342,20,0,20,0,0,0,0,0,0,0
WI,Wisconsin,2/9/2020,44.11921289,-89.35496561,24,0,1,0,0,0,0,0,0,0
AZ,Arizona,2/10/2020,32.92311986,-109.0097148,20,0,4,0,0,0,0,0,0,0
CA,California,2/10/2020,37.42948681,-120.2166639,15,0,0,0,0,0,0,0,0,0
IL,Illinois,2/10/2020,39.79487369,-88.65905633,40,0,40,0,0,0,0,0,0,0
MA,Massachusetts,2/10/2020,40.98575192,-69.50445945,20,0,2,0,0,0,0,0,0,0
WA,Washington,2/10/2020,46.70352869,-119.3591342,20,0,19,0,0,0,0,0,0,0
WI,Wisconsin,2/10/2020,44.11921289,-89.35496561,24,0,1,0,0,0,0,0,0,0
AZ,Arizona,2/11/2020,32.92311986,-109.0097148,19,0,5,0,0,0,0,0,0,0
CA,California,2/11/2020,37.42948681,-120.2166639,12,0,0,0,0,0,0,0,0,0
IL,Illinois,2/11/2020,39.79487369,-88.65905633,38,0,38,0,0,0,0,0,0,0
MA,Massachusetts,2/11/2020,40.98575192,-69.50445945,20,0,3,0,0,0,0,0,0,0
WA,Washington,2/11/2020,46.70352869,-119.3591342,19,0,18,0,0,0,0,0,0,0
WI,Wisconsin,2/11/2020,44.11921289,-89.35496561,23,0,2,0,0,0,0,0,0,0
AZ,Arizona,2/12/2020,32.92311986,-109.0097148,18,0,5,0,0,0,0,0,0,0
CA,California,2/12/2020,37.42948681,-120.2166639,14,0,0,0,0,0,0,0,0,0
IL,Illinois,2/12/2020,39.79487369,-88.65905633,36,0,36,0,0,0,0,0,0,0
MA,Massachusetts,2/12/2020,40.98575192,-69.50445945,19,0,3,0,0,0,0,0,0,0
WA,Washington,2/12/2020,46.70352869,-119.3591342,18,0,17,0,0,0,0,0,0,0
WI,Wisconsin,2/12/2020,44.11921289,-89.35496561,22,0,2,0,0,0,0,0,0,0
AZ,Arizona,2/13/2020,32.92311986,-109.0097148,18,0,6,0,0,0,0,0,0,0
CA,California,2/13/2020,37.42948681,-120.2166639,16,0,0,0,0,0,0,0,0,0
IL,Illinois,2/13/2020,39.79487369,-88.65905633,34,0,34,0,0,0,0,0,0,0
MA,Massachusetts,2/13/2020,40.98575192,-69.50445945,18,0,3,0,0,0,0,0,0,0
TX,Texas,2/13/2020,31.51025632,-98.252124,26,0,0,0,0,0,0,0,0,0
WA,Washington,2/13/2020,46.70352869,-119.3591342,18,0,16,0,0,0,0,0,0,0
WI,Wisconsin,2/13/2020,44.11921289,-89.35496561,21,0,2,0,0,0,0,0,0,0
AZ,Arizona,2/14/2020,32.92311986,-109.0097148,17,0,6,0,0,0,0,0,0,0
CA,California,2/14/2020,37.42948681,-120.2166639,23,0,3,0,0,0,0,0,0,0
IL,Illinois,2/14/2020,39.79487369,-88.65905633,32,0,32,0,0,0,0,0,0,0
MA,Massachusetts,2/14/2020,40.98575192,-69.50445945,18,0,3,0,0,0,0,0,0,0
TX,Texas,2/14/2020,31.51025632,-98.252124,23,0,0,0,0,0,0,0,0,0
WA,Washington,2/14/2020,46.70352869,-119.3591342,17,0,15,0,0,0,0,0,0,0
WI,Wisconsin,2/14/2020,44.11921289,-89.35496561,20,0,2,0,0,0,0,0,0,0
AZ,Arizona,2/15/2020,32.92311986,-109.0097148,16,0,6,0,0,0,0,0,0,0
CA,California,2/15/2020,37.42948681,-120.2166639,30,0,5,0,0,0,0,0,0,0
IL,Illinois,2/15/2020,39.79487369,-88.65905633,30,0,31,0,0,0,0,0,0,0
MA,Massachusetts,2/15/2020,40.98575192,-69.50445945,17,0,4,0,0,0,0,0,0,0
TX,Texas,2/15/2020,31.51025632,-98.252124,20,0,0,0,0,0,0,0,0,0
WA,Washington,2/15/2020,46.70352869,-119.3591342,16,0,14,0,0,0,0,0,0,0
WI,Wisconsin,2/15/2020,44.11921289,-89.35496561,20,0,3,0,0,0,0,0,0,0
AZ,Arizona,2/16/2020,32.92311986,-109.0097148,16,0,7,0,0,0,0,0,0,0
CA,California,2/16/2020,37.42948681,-120.2166639,37,0,8,0,0,0,0,0,0,0
IL,Illinois,2/16/2020,39.79487369,-88.65905633,28,0,29,0,0,0,0,0,0,0
MA,Massachusetts,2/16/2020,40.98575192,-69.50445945,16,0,4,0,0,0,0,0,0,0
