,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
96,1/22/2020,Lebanon,0,0,0,0,0,0,0
97,1/22/2020,Liberia,0,0,0,0,0,0,0
98,1/22/2020,Libya,0,0,0,0,0,0,0
99,1/22/2020,Liechtenstein,0,0,0,0,0,0,0
100,1/22/2020,Lithuania,0,0,0,0,0,0,0
101,1/22/2020,Luxembourg,0,0,0,0,0,0,0
102,1/22/2020,Madagascar,0,0,0,0,0,0,0
103,1/22/2020,Malawi,0,0,0,0,0,0,0
104,1/22/2020,Malaysia,0,0,0,0,0,0,0
105,1/22/2020,Maldives,0,0,0,0,0,0,0
106,1/22/2020,Mali,0,0,0,0,0,0,0
107,1/22/2020,Malta,0,0,0,0,0,0,0
108,1/22/2020,Mauritania,0,0,0,0,0,0,0
109,1/22/2020,Mauritius,0,0,0,0,0,0,0
110,1/22/2020,Mexico,0,0,0,0,0,0,0
111,1/22/2020,Moldova,0,0,0,0,0,0,0
112,1/22/2020,Monaco,0,0,0,0,0,0,0
113,1/22/2020,Mongolia,0,0,0,0,0,0,0
114,1/22/2020,Montenegro,0,0,0,0,0,0,0
115,1/22/2020,Morocco,0,0,0,0,0,0,0
116,1/22/2020,Mozambique,0,0,0,0,0,0,0
117,1/22/2020,Namibia,0,0,0,0,0,0,0
118,1/22/2020,Nepal,0,0,0,0,0,0,0
119,1/22/2020,Netherlands,0,0,0,0,0,0,0
120,1/22/2020,New Zealand,0,0,0,0,0,0,0
121,1/22/2020,Nicaragua,0,0,0,0,0,0,0
122,1/22/2020,Niger,0,0,0,0,0,0,0
123,1/22/2020,Nigeria,0,0,0,0,0,0,0
124,1/22/2020,North Macedonia,0,0,0,0,0,0,0
125,1/22/2020,Norway,0,0,0,0,0,0,0
126,1/22/2020,Oman,0,0,0,0,0,0,0
127,1/22/2020,Pakistan,0,0,0,0,0,0,0
128,1/22/2020,Panama,0,0,0,0,0,0,0
129,1/22/2020,Papua New Guinea,0,0,0,0,0,0,0
130,1/22/2020,Paraguay,0,0,0,0,0,0,0
131,1/22/2020,Peru,0,0,0,0,0,0,0
132,1/22/2020,Philippines,0,0,0,0,0,0,0
133,1/22/2020,Poland,0,0,0,0,0,0,0
